country,UN_country
Bolivia,Bolivia (Plurinational State of)
Brunei,Brunei Darussalam
Congo (Kinshasa),Democratic Republic of the Congo
Cote d'Ivoire,Côte d'Ivoire
Curacao,Curaçao
Guernsey,Channel Islands
Iran,Iran (Islamic Republic of)
Jersey,Channel Islands
"Korea, South",Republic of Korea
Moldova,Republic of Moldova
occupied Palestinian territory,State of Palestine
Reunion,Réunion
Russia,Russian Federation
Venezuela,Venezuela (Bolivarian Republic of)
Vietnam,Viet Nam
US,United States of America
All,World
